 novel bagus|pos; 
cerita bagus|pos; 
buku dicap plagiat tapi buya emang jagonya ngedongeng merangsek jiwajiwa pembacanya|pos; 
pembacaan terhenti kerana masuk konflik aduh tidakberapa minat wujud konflik akan mengubah emosi perasaan disambung|pos; 
buku pembaca mengikuti perasaan tokohnya akhir cerita menyesal sedih tapi sungguh buku keren|pos; 
sastra gaya bahasa melayu khas perpaduan cerita cinta klasik apik religius pesan moral pemuda dihujani cinta|pos; 
kemalangan nasib menghantarkan gilang gemilang cinta racun pembunuh mujarab|pos; 
tidak-membaca buku berusia versi suka cerita|pos; 
cerita cinta ditulis agamawan jantung mendalam sekedar kisah cinta tapi tidak-apa|pos; 
cerita buku menyayat hati terkesan jiwa tiada menandingi kehebatan buya hamka alam nusantara ulama sastrawan agung|pos; 
bahasa dramatis berbungabunga tak masuk anganku tapi cerita nya indah cerita percintaan terhalang penuh berliku ending menyayat hati gonna read more hamka books after this|pos; 
kisah roman tragis menyentuh gaya penulisan dialog cerdas tak bosan baca|pos; 
tenggelamnya kapal van der wijck mengajarkan arti kehidupan dipenuhi budaya minangkabau novel sungguh eksotis|pos; 
zainuddin kecewa rabak cintanya hayati ditolak kerana adat negeri pinangan lelaki berharta|net; 
bahasan adat agama pesan perhatikan memaafkan|net; 
buku hmm membacanya jam pelajaran bahasa indonesia emang bagus sih judulnya ceritanya diakhir awal|net; 
buku berisi penantian cinta pemuda tulus gadis cintanya terhalang adat berbeda belah|net; 
bahasa indah kisah mengusik hati kerana jodoh tidaksampai kehendak tuhan|pos; 
kesusasteraan literasi tahap tanah seberang tapi baca bukubuku karangan buya hamka frustasi ending|net; 
tidakterlalu suka ending penceritaan adat membatasi menarik sejujurnya tapi tidakpaham adat|neg; 
buku bagus makna cinta derajat suku adat keturunan tesis memudar budaya kagum faham ceritanya|pos; 
konflik percintaan adat kritik sosial kefanatikan pemakaian adat pepatih buya hamka|net; 
menarik selepas kejatuhan kejatuhan kesedaran hidup memacu tabah dimasa hadapan berbekalkan pengalaman kesengsaraan|net; 
indahnya bahasa dipakai menyentuh pembaca ceritanya menarik buku indah|pos; 
roman amat bagus rekomendasikan salah harta warisan budaya bangsa|pos; 
memahami arti mencintai buku bahasa penulis benarbenar bahasa melayu tidak-berharap tidak-keseluruhan benarbenar menikmati membaca|pos; 
benarbenar cerita dalamnyata tidakada bosanbosannya membacanya cinta cipta karsa melengkapi cerita|pos; 
salah novel klasik indonesia kusuka katanya kontroversi novel meniru salah karya sastrawan mesir bener tau deh|pos; 
memilukan penulis mencoba mematahkan norma masyarakatnya bahu ditinggalkannya istirahat hubungan jangka|net; 
buku banggakan tidaksekedar sedikt membandingkan salah buku fenomenal indonesia baca baca|pos; 
hayati zainuddin kasihan menyesal bintang semakin tersangkut bintang|net; 
jarang baca tema roman tapi sekalinya baca buku jaman dulunya indonesia syukurlah bagus|pos; 
tidak-semenggetarkan merantau deli kalo merantau deli udah kali baca menitikkan air mata membacanya|neg; 
baca tidak-ingat smp ejaan salah novel serius baca|pos; 
kisah cinta zainuddin hayati dihalangi adat cinta tidaksampai menyebabkan zainuddin berjaya ternama orang bernama hayati orang dibantu katakata menyebabkan orang nikmat buku mendaki kejayaan|net; 
kisah cinta sempurna kelaksanaanya penggunaan bahasa dikelaskan klasik agung penguraian halus telus sniper membelah nukleus amoeba|pos; 
buku tapi baca ceritanya keren romansa anak muda jaman mendayudayu sarat makna kecakapan sastra bukunya tipis tapi tidakcepat tamat pemahaman bahasa khas melayu|net; 
bagus banget buku pantas dibaca difilmkan hamka menulis halaman halaman perasaan cerita agak sayapsayap patah dikisahkan lelaki penuh haru cintanya dipisahkan adat|pos; 
bahasanya indah kisah biasa didengar dikalangan masyarakat cinta darjat laksana cinta uda dara hamka berjaya beremosi membacanya|pos; 
review orang ceritanya seru membaca buku bukunya uzur dimakan usia kutu takut memegang membukabuka halaman halamannya entah pinjam|pos; 
buku bagus kisah sedih ceritanya suka buku ceritanya mengagumkan filmnya bioskop karakter utamanya zanudin pacarnya|pos; 
harapan orang nyawa orang meresap nyawa jiwa nya celakalah merentapinya hancurlah jasad nya binasa hidup nya|net; 
membaca kisah cinta layla majnun titanic kapalnya suka deskripsi cinta patah hati digambarkan buku buku buku menyentuh hati pembacanya|pos; 
kerana nasib tiaptiap orang bercitacita kesenangannya orang tidaksesudah menutup mata barulah orang akan insaf keras hati kau zainudin|net; 
tenggelamnya kapal cinta sejati bahasa puitis halus lagikan tersusun karya buya hamka seharusnya dihayati sindiran masyarakat unsur nasihat teliti tekankan citacita manusia tidakdapat melawan kehendak takdir|pos; 
suka sekali buku sekali membaca penasaran pengin membaca kisah kisah dalamnya cerita menginspirasi kaya akan nilai nilai kehidupan bagus banget pokoknya|pos; 
sejujurnya dipaksa membaca buku bagus banget nih buku recommended|pos; 
kasih baca buku susah sekali dicari pengen baca situs web kasih ya|net; 
percintaan penuh dugaan akhiran menyedihkan kekesalan dendam menular watakwatak tenggelamnya kapal van der wijck buku menitiskan air mata|net; 
kirain cerita seputar karamnya kapal van der wijk tapi jalan ceritanya menarik ditambah bahasa khas buya hamka merindukan masamasa sekolah membaca buku|pos; 
seru novelnya sih dibanding filmnya tapi mending nonton filmnya baca novelnya biar visualisasinya baca kisah hayati bayangin pevita pearce|pos; 
perempuan hanya kekejaman orang dirinnya lupa kekejamannya orang besarnya zainuddin|pos; 
ilmu mengarang diperdapat lantaran dipelajari nahu saraf bahasa dibaca karangan punjanggapujangga menirunya orang pengarang halaman|net; 
bikin kecewa tenggelamnya kapal hanya diceritakan koran buku ngira kaya titanic|pos; 
lupa gimana ceritanya sedih pokoknya perjuangan bersatu sepasang kekasih pilu|net; 
unik romantik penuh emosi keindahan bahasanya tidakjemu membacanya berulangulang kali|pos; 
cerita mengharukan sarat hikmah pergulatan manusia adat perasaan takdir|pos; 
cerita cinta mengaduk aduk emosi emosi teradukaduk membaca novel|pos; 
buku romantis percintaan disukai harga pria kesetiaan kekasih pengkhianatan cinta tidak-pernah bersatu|pos; 
agungnya cinta zainuddin hayati sungguh hebat ditambah lenggok bahasa hamka indah buatkan jalan ceritanya meruntun jiwa|pos; 
bacanya sudadah lupa ceritanya tokohnya tapi sekali senang sekali buku baca|net; 
dunia hanya bertiga bercela orang dengki orang tamak loba ketiga orang berdosa luput tangan hakim|pos; 
cinta mengajari lemah tetapi membangkitkan kekuatan cinta melemahkan semangat tetapi membangkitkan semangat abg muluk zainuddin gara cinta nya hayati kisah mengajar manusia terlampau mencintai manusia karya prof haji abdul malik abdul karim amrullah mendahului zamannya|pos; 
novel menceritakan kisah pemuda hidup masyarakat kuat berpegang adat cintanya gadis terhalang kerana adat harta diterbitkan kisah berlaku pemuda berlaku gaya bahasa penulis menyentuh hati|pos; 
awal baca canggung bahasa daerahnya semakin tertantang membaca buku pemilihan katanya unik tak buku tata bahasa kuno this book really amazing|pos; 
sungguh indah susunan katanya jalan cerita ringkas tapi padat pengajaran cerita diterbitkan berpuluh diaplikasikan zaman isu dikupaskan adat definisi cinta pengaruh duniawi menentukan keputusan|pos; 
kisah cinta tak hayati zainudin penceritaan puitis mendayu tragis titanic disangka akan jua rupa takdir tuhan melebihi perempuan hanya kekejaman orang dirinnya lupa kekejamannya orang besarnya|pos; 
